aX,aY,aZ,gX,gY,gZ
0.295,-0.665,-0.679,-10.071,-23.743,17.883
-1.871,-3.740,-0.923,-15.503,70.129,-338.013
-1.730,-4.000,-1.286,-48.584,82.703,-301.453
-0.937,-2.718,-1.366,50.110,123.352,-135.986
-0.635,-2.028,-1.260,149.536,127.991,10.925
-0.539,-2.232,-1.426,273.621,94.910,27.771
-0.502,-2.356,-1.571,154.724,32.715,0.061
-0.286,-1.792,-1.321,54.504,4.456,-16.602
-0.306,-0.800,-0.718,-104.187,-62.317,-39.185
-0.331,-0.516,-0.470,-124.573,-71.777,-42.358
-0.330,-0.460,-0.366,-45.349,-14.282,-26.672
-0.324,-0.642,-0.531,25.146,52.307,-5.920
-0.029,-0.926,-1.089,104.492,103.882,13.306
0.038,-0.989,-1.354,112.122,111.145,22.583
0.174,-1.038,-1.572,92.102,85.266,23.621
0.137,-1.016,-1.482,61.584,45.410,16.296
-0.032,-0.833,-0.994,-16.357,-42.664,-1.831
-0.100,-0.734,-0.755,-42.542,-63.232,-6.165
-0.171,-0.500,-0.454,-56.335,-67.322,-9.644
-0.171,-0.411,-0.379,-37.109,-42.664,-10.132
-0.083,-0.299,-0.346,-19.775,-23.987,-9.583
-0.034,-0.313,-0.426,3.479,1.038,-11.230
-0.017,-0.333,-0.492,8.118,9.277,-14.099
0.100,-0.500,-0.599,13.489,25.513,-18.555
0.118,-0.553,-0.695,9.705,26.917,-20.935
0.187,-0.586,-0.714,8.301,28.137,-20.264
0.203,-0.617,-0.738,6.836,26.245,-20.447
0.245,-0.693,-0.802,6.592,24.841,-19.775
0.278,-0.741,-0.873,3.784,20.081,-15.076
0.283,-0.752,-0.895,3.113,15.808,-11.780
0.285,-0.762,-0.901,2.747,1.343,-6.042
0.268,-0.760,-0.879,0.366,-4.700,-4.333
0.205,-0.699,-0.810,-5.249,-10.498,-1.465
0.183,-0.664,-0.778,-6.042,-10.010,-2.625
0.158,-0.630,-0.745,-3.174,-6.592,-2.869
0.143,-0.615,-0.735,2.930,-2.014,-2.625
0.137,-0.620,-0.725,4.883,0.488,-2.991
0.127,-0.673,-0.747,7.324,5.798,-4.456
0.129,-0.718,-0.774,7.935,7.874,-5.127
0.142,-0.774,-0.835,5.493,9.033,-2.930
0.153,-0.754,-0.854,3.418,8.179,-0.183
0.145,-0.686,-0.816,-1.953,1.465,2.930
0.134,-0.654,-0.778,-4.150,-2.380,3.296
0.111,-0.589,-0.725,-5.493,-3.906,2.136
0.107,-0.564,-0.724,-3.113,-0.366,0.000
0.114,-0.536,-0.731,-0.305,2.075,-0.305
0.111,-0.573,-0.763,5.188,5.615,-0.916
0.112,-0.591,-0.784,5.920,6.592,-1.953
0.138,-0.639,-0.823,3.662,8.667,-4.333
0.147,-0.659,-0.843,2.075,8.301,-4.456
0.141,-0.689,-0.864,-0.732,4.333,-2.136
0.137,-0.672,-0.863,-1.343,1.038,15.381
0.125,-0.613,-0.827,-1.404,-4.395,2.380
0.112,-0.574,-0.789,1.526,-6.348,2.075
0.086,-0.583,-0.765,2.075,-6.714,0.549
0.073,-0.588,-0.744,1.770,-4.333,-2.014
0.081,-0.597,-0.742,1.709,-2.441,-3.174
0.090,-0.600,-0.761,1.343,0.000,-3.845
0.096,-0.596,-0.765,1.709,0.793,-3.723
0.102,-0.607,-0.770,3.357,0.488,-3.357
0.109,-0.615,-0.774,3.601,0.610,-2.930
0.110,-0.619,-0.776,2.136,-0.244,-2.136
0.108,-0.616,-0.773,1.282,-0.610,-1.892
0.109,-0.615,-0.774,0.977,-0.793,-2.258
0.112,-0.618,-0.775,0.610,-0.916,-2.502
0.117,-0.630,-0.786,1.343,-1.831,-2.502
0.110,-0.638,-0.782,1.343,-2.136,-2.502
0.109,-0.635,-0.775,-0.793,-2.502,-1.892
0.106,-0.623,-0.781,-1.404,-2.380,-1.099
0.096,-0.626,-0.773,-0.305,-3.357,-0.977
0.088,-0.635,-0.758,-1.526,-3.479,-1.282
0.088,-0.639,-0.757,-1.892,-2.930,-1.526
0.083,-0.645,-0.759,-1.648,-1.892,-1.099
0.083,-0.654,-0.770,0.366,-0.305,0.183
0.087,-0.656,-0.776,0.854,0.183,0.916
0.096,-0.663,-0.799,1.648,0.732,1.648
0.099,-0.670,-0.810,1.221,-0.305,1.465
0.103,-0.688,-0.819,-0.610,-2.197,2.563
0.106,-0.683,-0.821,-1.953,-2.930,3.357
0.109,-0.680,-0.810,-2.869,-4.944,4.944
0.104,-0.686,-0.810,-3.601,-5.554,5.798
0.104,-0.681,-0.812,-4.089,-6.836,7.019
0.102,-0.673,-0.802,-4.395,-7.874,7.568
0.092,-0.657,-0.786,-4.639,-9.094,9.338
0.092,-0.654,-0.777,-4.089,-9.766,9.521
0.094,-0.659,-0.757,-4.211,-9.644,9.827
0.072,-0.674,-0.766,-4.333,-9.583,10.254
0.095,-0.695,-0.784,-5.066,-9.338,9.827
0.105,-0.690,-0.779,-6.470,-10.437,10.620
0.104,-0.688,-0.758,-8.728,-13.916,13.000
0.102,-0.688,-0.753,-8.728,-14.587,13.550
0.107,-0.690,-0.744,-7.446,-15.137,14.526
0.108,-0.710,-0.715,-6.470,-14.526,16.113
0.113,-0.696,-0.715,-3.540,-10.681,20.935
0.122,-0.682,-0.732,-1.526,-8.057,22.461
0.143,-0.674,-0.768,1.587,-6.348,23.804
0.160,-0.671,-0.780,1.221,-6.897,23.987
0.165,-0.661,-0.789,-1.526,-10.620,22.522
0.163,-0.658,-0.783,-3.479,-12.695,21.484
0.165,-0.665,-0.777,-4.639,-14.404,19.043
0.176,-0.680,-0.770,-8.911,-17.273,18.127
0.171,-0.683,-0.761,-12.085,-19.226,17.578
0.171,-0.688,-0.734,-17.334,-22.095,16.785
0.165,-0.685,-0.712,-19.897,-23.987,16.602
0.155,-0.654,-0.661,-20.386,-24.780,18.372
0.154,-0.638,-0.639,-17.517,-23.071,19.714
0.128,-0.652,-0.620,-10.071,-16.724,24.170
0.139,-0.659,-0.635,-7.446,-12.207,25.024
0.171,-0.648,-0.666,-7.324,-5.615,24.963
0.193,-0.637,-0.687,-8.179,-3.784,24.414
0.213,-0.594,-0.719,-8.301,-3.235,21.790
0.243,-0.628,-0.732,-8.606,-3.906,21.057
0.250,-0.647,-0.762,-7.812,-6.775,19.470
0.268,-0.690,-0.761,-9.338,-9.094,19.836
0.263,-0.700,-0.751,-11.353,-11.658,20.996
0.256,-0.708,-0.733,-12.512,-14.343,24.109
0.263,-0.716,-0.716,-11.597,-14.648,25.696
0.269,-0.713,-0.693,-12.024,-13.550,28.015
0.267,-0.702,-0.697,-12.573,-11.658,28.870
0.304,-0.694,-0.714,-10.254,-7.874,27.466
1.809,0.650,0.462,-88.196,-28.564,-94.482
1.696,0.694,0.584,-98.694,-23.743,-108.154
1.311,0.732,0.646,-102.844,-3.540,-137.634
1.043,0.777,0.595,-92.285,11.963,-156.067
0.713,0.751,0.398,-34.668,63.599,-192.139
0.564,0.626,0.248,0.549,89.233,-203.674
0.479,0.001,-0.144,54.871,118.408,-194.519
0.501,-0.036,-0.344,61.035,117.859,-168.213
0.329,0.289,-0.579,76.782,81.848,-94.482
-0.099,0.452,-0.602,104.919,53.284,-61.523
-1.345,0.115,-0.543,170.898,13.672,-37.109
-1.979,-0.414,-0.761,203.979,65.186,-80.872
-2.443,-1.658,-1.257,253.174,116.089,-117.188
-2.515,-2.508,-1.753,251.648,194.458,-172.791
-2.228,-4.000,-2.484,209.961,215.088,-149.780
-0.910,-4.000,-2.479,74.158,180.847,-81.848
-0.581,-3.232,-2.144,10.132,131.714,-54.932
-0.662,-1.030,-1.369,-83.679,30.090,6.226
-0.584,0.164,-0.981,-99.182,-2.563,23.926
-0.270,1.683,-0.291,-83.130,-39.001,37.842
-0.389,1.862,0.244,40.222,4.028,44.128
-0.696,0.969,-0.556,126.770,51.697,1.343
-0.559,0.232,-0.875,119.568,109.863,-76.355
-0.400,-0.904,-1.363,75.317,102.783,-88.257
