aX,aY,aZ,gX,gY,gZ
0.900,0.286,0.084,5.798,5.249,1.831
0.908,0.229,0.066,0.244,-0.610,0.305
0.942,0.206,0.080,-2.869,-4.028,0.488
0.967,0.180,0.119,-1.099,-8.118,0.183
0.964,0.198,0.136,1.282,-7.996,1.160
0.938,0.263,0.161,5.859,-4.944,0.977
0.922,0.288,0.157,7.812,-3.784,-0.183
0.906,0.302,0.151,6.348,-2.197,-2.075
0.910,0.298,0.147,4.089,-2.441,-2.380
0.910,0.286,0.142,1.160,-3.113,-2.686
0.939,0.242,0.136,-3.906,-3.723,-1.526
0.948,0.218,0.121,-3.967,-4.150,-0.488
0.965,0.194,0.108,-1.953,-3.601,0.122
0.954,0.219,0.094,0.854,-1.587,-0.061
0.953,0.235,0.094,1.282,-0.854,0.061
0.941,0.230,0.097,0.000,-0.610,0.488
0.939,0.251,0.113,-0.427,-0.671,1.221
0.927,0.277,0.130,-0.549,-0.488,1.465
0.913,0.288,0.140,-0.061,-0.061,0.122
0.913,0.286,0.135,0.061,1.160,-2.136
0.908,0.287,0.130,0.549,0.488,-3.052
0.918,0.281,0.128,0.427,0.732,-3.357
0.922,0.266,0.118,-0.061,-0.427,-3.723
0.929,0.252,0.109,-0.122,0.122,-4.028
0.956,0.228,0.105,-0.671,-0.183,-4.028
0.969,0.217,0.111,-0.366,-0.427,-3.845
0.978,0.197,0.112,1.526,-0.427,-3.357
0.976,0.205,0.117,2.136,-0.061,-2.380
0.955,0.259,0.138,2.991,1.038,-0.916
0.948,0.268,0.134,3.479,1.709,-1.709
0.947,0.263,0.132,1.892,1.770,-2.869
0.946,0.255,0.130,1.099,1.587,-3.418
0.942,0.238,0.122,0.244,0.488,-3.540
0.943,0.239,0.122,0.549,-0.122,-3.540
0.952,0.230,0.115,0.977,-0.916,-4.395
0.956,0.212,0.104,1.099,-1.587,-4.333
0.955,0.210,0.103,0.610,-2.258,-3.906
0.972,0.186,0.106,0.549,-2.930,-3.601
0.970,0.191,0.111,0.916,-2.625,-1.770
0.949,0.227,0.120,1.770,-1.953,-1.038
0.947,0.230,0.119,2.319,-1.343,-1.526
0.957,0.213,0.115,1.099,-1.038,-1.221
0.963,0.204,0.119,1.221,-0.732,-0.305
0.953,0.222,0.126,2.197,0.061,0.061
0.944,0.247,0.137,2.930,1.038,0.366
0.932,0.271,0.141,3.967,3.479,-1.099
0.921,0.259,0.131,5.981,4.639,-2.075
0.922,0.248,0.103,6.348,4.883,-2.441
0.925,0.260,0.098,2.930,3.235,-2.197
0.932,0.267,0.095,1.282,2.319,-2.502
0.959,0.204,0.074,-0.366,-0.854,-4.211
0.974,0.175,0.076,-2.136,-2.197,-4.150
0.974,0.187,0.099,-2.625,-3.296,-1.892
0.968,0.210,0.116,-0.854,-2.625,-0.610
0.953,0.230,0.120,3.906,0.000,-1.038
0.929,0.273,0.114,5.066,1.282,-1.343
0.923,0.284,0.110,4.517,1.953,-2.075
0.942,0.237,0.106,0.916,0.061,-4.089
0.954,0.221,0.115,-1.221,-1.648,-4.211
0.969,0.203,0.121,-1.831,-2.563,-3.601
0.979,0.188,0.121,-1.221,-2.502,-3.479
0.995,0.148,0.103,1.709,-1.404,-3.418
0.997,0.148,0.101,2.930,-0.671,-2.258
0.977,0.187,0.115,3.601,1.099,0.305
0.961,0.215,0.118,4.089,1.892,1.465
0.927,0.270,0.120,3.845,2.991,1.282
0.919,0.270,0.113,3.418,2.441,0.366
0.922,0.256,0.111,-0.122,0.305,-1.282
0.646,-1.509,-0.333,8.850,-12.390,136.536
0.621,-1.456,-0.366,13.672,-18.127,144.958
0.594,-1.333,-0.351,22.278,-30.273,160.156
